model,experiment,region_name,horizon,n,MAE,RMSE,MASE,sMAPE,modell
timesfm_wx,WX,Västmanlands län,6,42.0,88.97374979654948,108.08910046941008,0.4311900367984355,26.497662182350123,TimesFM D (+väder)
timesfm_wx,WX,Västra Götalands län,1,47.0,253.31141954787233,299.68851929045877,0.6007868423799516,19.440719524425205,TimesFM D (+väder)
timesfm_wx,WX,Västra Götalands län,3,45.0,271.8156982421875,340.60671315174886,0.6446740354134076,21.412304434687616,TimesFM D (+väder)
timesfm_wx,WX,Västra Götalands län,6,42.0,319.6712704613095,374.9204056040976,0.7581746354855591,24.251020431527596,TimesFM D (+väder)
timesfm_wx,WX,Örebro län,1,47.0,101.77587436107879,123.90480009273564,0.5153135122693216,19.611055041830124,TimesFM D (+väder)
timesfm_wx,WX,Örebro län,3,45.0,125.07140706380208,150.4771763528133,0.633263889532953,23.606523611444523,TimesFM D (+väder)
timesfm_wx,WX,Örebro län,6,42.0,131.7361137753441,164.64639009475584,0.6670087573155188,24.573068277486446,TimesFM D (+väder)
timesfm_wx,WX,Östergötlands län,1,47.0,135.1901660675698,179.2551671347649,0.6549875289179606,20.30817592561835,TimesFM D (+väder)
timesfm_wx,WX,Östergötlands län,3,45.0,152.42923312717014,198.52153863110362,0.7385096833960834,23.233181798002224,TimesFM D (+väder)
timesfm_wx,WX,Östergötlands län,6,42.0,168.42675853910902,214.05448711323857,0.8160166496433989,26.672933038116657,TimesFM D (+väder)
xgb_base,base,Blekinge län,1,47.0,56.02679281031832,74.26764154829921,0.5534514079376237,27.73357363829313,XGBoost (bas)
xgb_base,base,Blekinge län,3,45.0,81.28046349419488,103.74408350718396,0.8029156177292384,38.08938585309483,XGBoost (bas)
xgb_base,base,Blekinge län,6,42.0,82.36420295352028,98.68580488863881,0.8136211587662177,38.89091581275463,XGBoost (bas)
xgb_base,base,Dalarnas län,1,47.0,402.0433648292055,767.5943643598864,0.9903372797646595,21.56521222865751,XGBoost (bas)
xgb_base,base,Dalarnas län,3,45.0,578.5741251627604,955.3280526031701,1.4251784145208277,32.541927920834254,XGBoost (bas)
xgb_base,base,Dalarnas län,6,42.0,532.7373540969122,945.3463228917217,1.3122705365613652,29.38115474480662,XGBoost (bas)
xgb_base,base,Gotlands län,1,47.0,42.46675560322214,54.2477616829832,0.9218317073547115,45.86385476089987,XGBoost (bas)
xgb_base,base,Gotlands län,3,45.0,41.59267154269748,50.07739546888734,0.902857844377907,47.0613875586235,XGBoost (bas)
xgb_base,base,Gotlands län,6,42.0,47.08126240684872,57.33480052622026,1.0219994415026028,52.882948645700644,XGBoost (bas)
xgb_base,base,Gävleborgs län,1,47.0,619.909987429355,1380.8203532105479,1.1852963430771608,27.29446061574819,XGBoost (bas)
xgb_base,base,Gävleborgs län,3,45.0,807.4436306423611,1716.9932563623686,1.543869274650786,36.21484063762704,XGBoost (bas)
xgb_base,base,Gävleborgs län,6,42.0,745.5863938104538,1686.8950855975936,1.4255953992551698,30.905605591009373,XGBoost (bas)
xgb_base,base,Götaland,1,47.0,757.5808676861702,946.5853601972224,0.5064119732784421,16.02689227332838,XGBoost (bas)
